OBJECTID,ORIGID,TimeStamp,ConfirmedCovidCases,PopulationProportionCovidCases
1,1,27/02/2020,0,0
2,2,27/02/2020,0,0
3,3,27/02/2020,0,0
4,4,27/02/2020,0,0
5,5,27/02/2020,0,0
6,6,27/02/2020,0,0
7,7,27/02/2020,0,0
8,8,27/02/2020,0,0
9,9,27/02/2020,0,0
10,10,27/02/2020,0,0
11,11,27/02/2020,0,0
12,12,27/02/2020,0,0
13,13,27/02/2020,0,0
14,14,27/02/2020,0,0
15,15,27/02/2020,0,0
16,16,27/02/2020,0,0
17,17,27/02/2020,0,0
18,18,27/02/2020,0,0
19,19,27/02/2020,0,0
20,20,27/02/2020,0,0
21,21,27/02/2020,0,0
22,22,27/02/2020,0,0
23,23,27/02/2020,0,0
24,24,27/02/2020,0,0
25,25,27/02/2020,0,0
26,26,27/02/2020,0,0
27,1,01/03/2020,0,0
28,2,01/03/2020,0,0
29,3,01/03/2020,0,0
30,4,01/03/2020,0,0
31,5,01/03/2020,0,0
32,6,01/03/2020,0,0
33,7,01/03/2020,0,0
34,8,01/03/2020,0,0
35,9,01/03/2020,0,0
36,10,01/03/2020,0,0
37,11,01/03/2020,0,0
38,12,01/03/2020,0,0
39,13,01/03/2020,0,0
40,14,01/03/2020,0,0
41,15,01/03/2020,0,0
42,16,01/03/2020,0,0
43,17,01/03/2020,0,0
44,18,01/03/2020,0,0
45,19,01/03/2020,0,0
46,20,01/03/2020,0,0
47,21,01/03/2020,0,0
48,22,01/03/2020,0,0
49,23,01/03/2020,0,0
50,24,01/03/2020,0,0
51,25,01/03/2020,0,0
52,26,01/03/2020,0,0
53,1,02/03/2020,0,0
54,2,02/03/2020,0,0
55,3,02/03/2020,0,0
56,4,02/03/2020,0,0
57,5,02/03/2020,0,0
58,6,02/03/2020,1,0.074219269
59,7,02/03/2020,0,0
60,8,02/03/2020,0,0
61,9,02/03/2020,0,0
62,10,02/03/2020,0,0
63,11,02/03/2020,0,0
64,12,02/03/2020,0,0
65,13,02/03/2020,0,0
66,14,02/03/2020,0,0
67,15,02/03/2020,0,0
68,16,02/03/2020,0,0
69,17,02/03/2020,0,0
70,18,02/03/2020,0,0
71,19,02/03/2020,0,0
72,20,02/03/2020,0,0
73,21,02/03/2020,0,0
74,22,02/03/2020,0,0
75,23,02/03/2020,0,0
76,24,02/03/2020,0,0
77,25,02/03/2020,0,0
78,26,02/03/2020,0,0
79,1,03/03/2020,0,0
80,2,03/03/2020,0,0
81,3,03/03/2020,0,0
82,4,03/03/2020,0,0
83,5,03/03/2020,0,0
84,6,03/03/2020,1,0.074219269
85,7,03/03/2020,0,0
86,8,03/03/2020,0,0
87,9,03/03/2020,0,0
88,10,03/03/2020,0,0
89,11,03/03/2020,0,0
90,12,03/03/2020,0,0
91,13,03/03/2020,0,0
92,14,03/03/2020,0,0
93,15,03/03/2020,1,0.775891499
94,16,03/03/2020,0,0
95,17,03/03/2020,0,0
96,18,03/03/2020,0,0
97,19,03/03/2020,0,0
98,20,03/03/2020,0,0
99,21,03/03/2020,0,0
100,22,03/03/2020,0,0
101,23,03/03/2020,0,0
102,24,03/03/2020,0,0
103,25,03/03/2020,0,0
104,26,03/03/2020,0,0
105,1,04/03/2020,0,0
106,2,04/03/2020,0,0
107,3,04/03/2020,3,2.524891219
108,4,04/03/2020,0,0
109,5,04/03/2020,0,0
110,6,04/03/2020,1,0.074219269
111,7,04/03/2020,0,0
112,8,04/03/2020,0,0
113,9,04/03/2020,0,0
114,10,04/03/2020,0,0
115,11,04/03/2020,0,0
116,12,04/03/2020,0,0
117,13,04/03/2020,0,0
118,14,04/03/2020,0,0
119,15,04/03/2020,1,0.775891499
120,16,04/03/2020,0,0
121,17,04/03/2020,0,0
122,18,04/03/2020,0,0
123,19,04/03/2020,0,0
